Iteration;1_cluster;2_cluster;3_cluster;4_cluster;5_cluster;6_cluster;10_cluster;15_cluster;20_cluster
1;-8.051613282131497;-8.038859384040695;-8.035087026635418;-8.033572245059778;-8.032673822769732;-8.03191537921278;-8.030785215076433;-8.030213146319994;-8.029915062138372
2;-8.029257876675514;-8.02902295783969;-8.028967680090577;-8.028982911924444;-8.0289211289102;-8.028849835789137;-8.028833322724774;-8.028821756212368;-8.028809489648387
3;-8.02925787667551;-8.028801632896547;-8.02868109728881;-8.028692823053243;-8.028593959780416;-8.028456370419496;-8.028424193874354;-8.028392725600137;-8.028366406055232
4;-8.02925787667551;-8.028427341591414;-8.028211734028803;-8.028233459774865;-8.028047494526659;-8.027777696514983;-8.027720805233422;-8.027644622073788;-8.02758973707305
5;-8.02925787667551;-8.027734442642645;-8.027385184868884;-8.02743377046016;-8.027061367810937;-8.026519066375597;-8.026424027697525;-8.026227119276086;-8.026105457672061
6;-8.02925787667551;-8.02638140013375;-8.025911720843737;-8.025995078834146;-8.025244491783184;-8.024121175789942;-8.024005121057021;-8.023436242481264;-8.023168375737797
7;-8.02925787667551;-8.023644057951236;-8.023362523628412;-8.023405289733214;-8.021926785738225;-8.019481053591607;-8.019508673726245;-8.017903339794229;-8.017349906893294
8;-8.02925787667551;-8.018026117375177;-8.019157471846976;-8.018801176205987;-8.01595665520057;-8.01033715377069;-8.011091981369184;-8.007246383395096;-8.006019109988733
9;-8.02925787667551;-8.006748785456061;-8.01239475203161;-8.010672182833403;-8.005322779640489;-7.992025657878669;-7.995386127374601;-7.987748290094952;-7.985100854409562
10;-8.02925787667551;-7.985875911652742;-8.00143627165293;-7.996392145118341;-7.986891099888343;-7.956051404965763;-7.96685575297327;-7.953238300365435;-7.949200881606642
11;-8.02925787667551;-7.9528721084499425;-7.9835650049513465;-7.972071371769984;-7.957012296088485;-7.893398866165106;-7.918128127783343;-7.895187317748965;-7.891238255595742
12;-8.02925787667551;-7.911173089076216;-7.955658524053395;-7.933848954357885;-7.9135190919764185;-7.808973743061923;-7.844561402145693;-7.811029737982054;-7.806325549154449
13;-8.02925787667551;-7.870313444234688;-7.917186366249928;-7.881368080590133;-7.858964480515278;-7.726239442251435;-7.754510370489515;-7.71373467937752;-7.6995024697471335
14;-8.02925787667551;-7.838928869058192;-7.873767388924847;-7.82075453252833;-7.801275987831639;-7.6616623626991025;-7.666884505131282;-7.622068049181651;-7.58670584289404
15;-8.02925787667551;-7.818864557718908;-7.834475565058113;-7.762736480731041;-7.74900126461359;-7.614821255923053;-7.593922686115705;-7.545260736711227;-7.485460164459982
16;-8.02925787667551;-7.807059148423263;-7.804204939202046;-7.7164799555806205;-7.706451570962503;-7.580532904377777;-7.537964522139444;-7.48403285983572;-7.404933588997249
17;-8.02925787667551;-7.800183517830739;-7.782419952655285;-7.684571049234375;-7.673523516896294;-7.55488144996018;-7.496545800142596;-7.436489794606919;-7.345000659643224
18;-8.02925787667551;-7.796141630012126;-7.766806377259625;-7.663962972309398;-7.648498163289816;-7.535469402452937;-7.4660857058560035;-7.400140048359477;-7.301407446436889
19;-8.02925787667551;-7.793691775767899;-7.75532955809591;-7.650430454054543;-7.629824176065472;-7.520756937845644;-7.443588558864033;-7.372399847587871;-7.269616711939251
20;-8.02925787667551;-7.792122915207887;-7.746653408516392;-7.641151448972201;-7.61595569166367;-7.509553227131629;-7.426718163125978;-7.350856058713779;-7.245879523448721
21;-8.02925787667551;-7.791037137527944;-7.739962786894647;-7.63452622979452;-7.605272787564116;-7.500842151551448;-7.413770199548187;-7.333782342506547;-7.227532699116942
22;-8.02925787667551;-7.7902785919393045;-7.734709291522724;-7.629623859811171;-7.596724768661277;-7.493948771327437;-7.403591856018816;-7.320045670068784;-7.213146722942225
23;-8.02925787667551;-7.789731365655301;-7.730510596774759;-7.625801928587021;-7.589753108789014;-7.488394976854194;-7.395437776072069;-7.3087815904913525;-7.201625594620398
24;-8.02925787667551;-7.789310917803096;-7.727081918747062;-7.6226890571489;-7.583997651044447;-7.483933010970524;-7.3887706368628345;-7.299350756898714;-7.192073719824766
25;-8.02925787667551;-7.788982420345197;-7.72420184952996;-7.6200938203739845;-7.579169434716704;-7.48037795617898;-7.383162574200813;-7.2912840460691575;-7.184039376924891
26;-8.02925787667551;-7.788711376395599;-7.7217609635912945;-7.61802126222316;-7.575019528793313;-7.477459699861922;-7.37838050989645;-7.284238626228523;-7.177287825131747
27;-8.02925787667551;-7.788469547881432;-7.719665123195631;-7.616418154524655;-7.571341796962164;-7.474989349193762;-7.374435407309183;-7.278091881499435;-7.171488290763066
28;-8.02925787667551;-7.7882505527686625;-7.717875708990138;-7.6151024542035595;-7.568053601400571;-7.472838968699855;-7.371136925667225;-7.272765988362232;-7.16640854743265
29;-8.02925787667551;-7.788061451736509;-7.716288697354284;-7.613945649983494;-7.5650744631635005;-7.470912581158338;-7.36829035049048;-7.268145199127731;-7.161909997680155
30;-8.02925787667551;-7.787909486646562;-7.71485542695795;-7.6128866888946805;-7.562256421411393;-7.469175920353771;-7.365789578251334;-7.264084893643898;-7.157876921903077
